draw,f_auto,theta_roo,theta_woo,theta_lit,theta_som,theta_min,temperature_exponent,d_onset,cr_onset,d_fall,cr_fall,c_lf,lma,ceff,c_lab_0,c_fol_0,c_roo_0,c_woo_0,c_lit_0,c_som_0,f_lab,f_fol,f_roo,f_woo,failure_reason
0,0.5768287839028841,0.008583694359701069,0.0002491446162044036,0.004845689499965283,0.0009676006193432935,0.004506188761278984,0.025683932713712693,22.69200281640102,57.87212004964604,300.32094111012304,56.58036328680809,0.6718948179961357,396.868848389987,54.27289397381136,1643.7638061876182,1259.9651531210397,1233.433428335859,77573.63322264433,1299.0033707700659,156365.1335545547,0.166732301403183,0.08860193659002297,0.10249910545453013,0.06533787264937989,|NEE| >30
1,0.4644717354484778,0.007456985830144076,0.0006571967627083459,0.0018241107397215764,0.00019909947234264576,0.00799110745388391,0.0304881995414602,217.58049204838204,14.52265391755892,70.09573690980353,124.99036325222826,0.5911199406988366,338.08962039895255,88.11633831061962,305.1556554122479,1183.4550818578539,1891.2179925121554,1381.3352366199138,1405.2595524290991,154061.4117012622,0.15634951657874085,0.15216903582008606,0.024494947565370746,0.2025147645873246,|NEE| >30
3,0.49760941557257843,0.00204336335359101,0.0003964499086149748,0.009979846138707475,0.0005857874260973285,0.006941114797145956,0.032673582423868225,90.7036704833486,91.30144550479866,79.85026237246103,58.103061335420655,0.8317017502403864,310.3269374332248,42.48330571246606,1432.788350613961,1679.3538412395228,1798.1374372200253,77707.29589764049,1393.2573403581598,175023.64402016994,0.07129910325623824,0.04037621795514237,0.20474593140318453,0.18596933181285652,|NEE| >30
4,0.6727922247104469,0.003453908323477189,0.0005582175316088257,0.005755031908091153,0.0008257910742433155,0.006122332927737196,0.03141353076414802,350.33591124333594,77.67688298346812,294.56899488488244,145.86255792308947,0.6906338085197616,298.57748847726333,48.35921848336879,1840.4296945933565,1894.8710207835268,512.8444481499155,29165.084947731473,1255.93534085247,47629.04123049477,0.041221737531740466,0.1024206884600084,0.10711003096402881,0.07645531833377545,|NEE| >30
5,0.49864931211796537,0.007798695027777133,0.0009231413154854243,0.005359762459179533,0.0007878295174567275,0.00510784855927554,0.05774119771258132,76.52709792496981,41.79226634535409,26.35424309607755,63.86254257152365,0.523605877856453,195.09245849551795,76.1128363370072,710.4106589385227,1527.2078302836178,1601.1986596334125,6687.314655017527,120.92035354262983,48179.13840173346,0.21386635589538266,0.14023424199795284,0.06678821362577199,0.0804618763629271,|NEE| >30
6,0.6593089068767836,0.0026455758833741627,0.0004445397152291929,0.003992588111590854,0.0008058641266899501,0.00830380248321422,0.07237350058292,288.99949569211225,52.469212424406024,249.28758207500772,90.75268567929956,0.2727379223557247,221.4538472946455,75.58205023964874,1912.1828127668564,758.10513874161,201.24353512382197,93459.36249040907,1388.5359044369707,107058.22925457545,0.06419132668752096,0.024745453591397928,0.14018929331060775,0.11156501953368983,|NEE| >30
7,0.6438507567403238,0.0063319962490943245,0.0005361863785424952,0.00967848308955471,0.0009055033160463598,0.007819515187635134,0.03396104759732535,15.31098570098893,54.860180774789,62.55526585228965,149.78048991222707,0.4019275416547554,346.2729179653294,10.42964863249028,1955.8852051790104,756.1139816179668,859.6779268175418,55475.00649500437,102.76342879547752,87964.06039972209,0.0671650832891334,0.12113488243532557,0.10087795799816951,0.06697131953704777,|NEE| >30
8,0.3235035725576606,0.0007507977320423666,4.6751539811614896e-05,0.004284303961821796,0.0007208985689358603,0.004645592582484929,0.04561341805065904,300.6803731869293,95.28951078793631,191.94418133742383,97.8171025078177,0.6214652465405914,63.19429149280905,35.60215238836946,1665.0271274690074,1354.246455623358,1894.4644800381895,25871.550866277274,1853.641736687694,32649.36845475051,0.03842189609042014,0.2529827077716833,0.1748405442040054,0.21025127937623056,|NEE| >30
10,0.5734018747547605,0.003086371921604577,0.0002229577121506962,0.009679167437743734,0.0009928184366708053,0.004941628570223772,0.026298745965106354,129.20298282968773,46.548506840186306,297.64453314950737,20.187754278339607,0.3479028474586878,286.87547005285006,37.416292999266176,530.4449671736622,1838.1460098636492,1483.7989461259074,49974.66448523003,544.0758445067897,193350.98038133408,0.17251560524976348,0.0009026115416773364,0.19745589601096883,0.0557240124428299,|NEE| >30
11,0.6946849096013655,0.006918596740490907,0.00042545975827104366,0.006803208860758161,0.0009333573571857721,0.00955402512571059,0.040756501489434174,144.652631806029,74.43902548982156,17.05490474661431,72.88770061004121,0.5353037796710214,64.13522596867165,78.11056693642483,813.2246225813642,372.9529914776318,1112.2543987287218,21360.762003928146,1497.0461814277592,36489.4240377063,0.04830603017642744,0.00016557049070663914,0.21251323670171174,0.04433025302978869,|NEE| >30
12,0.6639994389856849,0.009473003398026671,0.0007407349711671965,0.0019203579966621544,0.0009026381963640232,0.0035578933870302233,0.06533625206458714,135.4914020881881,34.21550479361513,280.80340160019654,77.59969969761727,0.5463357194351375,98.60809627398052,45.691029468727294,727.0183245450885,420.4347145495711,1198.007689690822,73161.04740085783,1777.7622128100663,185817.08705610066,0.13336598968031374,0.09573248476275742,0.04068949316416824,0.06621259340707576,|NEE| >30
14,0.4309952682377456,0.006917162856244822,0.0004319412618321779,0.0013732175214662135,0.0009098555568212359,0.004339077536858511,0.057545675192852155,21.817801722606387,91.64592349713028,302.41282885121984,47.5195706450091,0.6786812187910112,210.5524455334336,85.21214338072014,1054.2975453454596,241.48626146850222,1000.6919622297196,13293.15068587187,762.2384605276231,30041.67621143864,0.07409404902529096,0.16850081054165722,0.2164874282015189,0.10992244399378735,|NEE| >30
