parameter,simplex,d_loglik,d_nee_annual,d_rmse,n_nonfinite,n_failed
f_auto,False,489067.11514669936,803.749751211667,2.0009665330535897,0,0
theta_roo,False,1076265.7948849574,165.03771751647514,0.42117171539768616,0,0
theta_woo,False,5904301.979988711,1158.2849454314637,2.9296652994530876,0,0
theta_lit,False,4171863.316842187,609.4768973749776,1.4769582435320348,0,0
theta_som,False,66893101.823528945,5493.433897049362,15.230492226873768,0,8
theta_min,False,3127216.849332031,632.8273655329824,1.703219493069378,0,0
temperature_exponent,False,1549861.50084617,942.9875971649838,3.6716890114420124,0,0
d_onset,False,103896.30260049459,52.145785845724276,0.13216396478075154,0,0
cr_onset,False,11752.60254268907,21.719753955920623,0.054493320668129286,0,0
d_fall,False,0.0,0.0,0.0,0,0
cr_fall,False,2152029.7107523726,39.67740674202673,0.16334724516771093,0,0
c_lf,False,2327073.6221205136,1163.5859876749807,3.500777266731146,0,0
lma,False,288309.72487306315,569.4548958310261,1.6038066343756592,0,0
ceff,False,506112.4669535691,733.1297587345941,2.371959180520867,0,0
c_lab_0,False,448359.24245596677,75.10190866422477,0.1968692211751195,0,0
c_fol_0,False,413599.7129969662,73.80538301478987,0.18322106422065687,0,0
c_roo_0,False,653284.5790706743,97.53745805205881,0.23381926221380667,0,0
c_woo_0,False,13817656.899333537,2153.3645698852115,5.806242029232367,0,0
c_lit_0,False,1311551.7641813383,98.54894978635207,0.2824670895959942,0,0
c_som_0,False,86292288.73699023,6677.081885814776,18.456304807995696,0,4
f_lab,True,447243.6373316096,75.22554063347684,0.20357385635196845,0,0
f_fol,True,429717.3541741194,63.5735606800356,0.2487245174329349,0,0
f_roo,True,1630601.5633637924,888.5762144353448,2.9030291029704616,0,0
f_woo,True,1689886.8746224334,700.5272606544918,2.5464733011449807,0,0
