parameter,orders,decade_low,decade_high,mass_fraction
theta_som,4.0,1e-07,1e-06,0.0009000900090009
theta_som,4.0,1e-06,1e-05,0.009000900090009001
theta_som,4.0,1e-05,0.0001,0.09000900090009002
theta_som,4.0,0.0001,0.001,0.9000900090009001
theta_min,3.0,1e-05,0.0001,0.009009009009009009
theta_min,3.0,0.0001,0.001,0.09009009009009009
theta_min,3.0,0.001,0.01,0.9009009009009009
d_onset,2.5622928644564746,1.0,10.0,0.024725274725274724
d_onset,2.5622928644564746,10.0,100.0,0.24725274725274726
d_onset,2.5622928644564746,100.0,365.0,0.728021978021978
d_fall,2.5622928644564746,1.0,10.0,0.024725274725274724
d_fall,2.5622928644564746,10.0,100.0,0.24725274725274726
d_fall,2.5622928644564746,100.0,365.0,0.728021978021978
c_woo_0,3.0,100.0,1000.0,0.009009009009009009
c_woo_0,3.0,1000.0,10000.0,0.09009009009009009
c_woo_0,3.0,10000.0,100000.0,0.9009009009009009
c_som_0,3.3010299956639813,100.0,1000.0,0.004502251125562781
c_som_0,3.3010299956639813,1000.0,10000.0,0.04502251125562781
c_som_0,3.3010299956639813,10000.0,100000.0,0.4502251125562781
c_som_0,3.3010299956639813,100000.0,200000.0,0.5002501250625313
