draw,f_auto,theta_roo,theta_woo,theta_min,temperature_exponent,d_onset,cr_onset,d_fall,cr_fall,c_lf,lma,ceff,c_lab_0,c_fol_0,c_roo_0,c_woo_0,rh_ref,f_som,theta_lit,theta_som,c_lit_0,c_som_0,f_lab,f_fol,f_roo,f_woo,failure_reason
0,0.5768287839028841,0.008583694359701069,0.0002491446162044036,0.004798832131783149,0.07799103750303452,164.82509600656158,21.154095874744236,22.69200281640102,89.14861784948873,0.8445214930531804,119.74108986042425,66.25203842245968,1984.1033841337803,994.0036674238498,1643.7638061876182,62661.87818019792,0.641284338598016,0.8102047376282056,0.0019624066767829603,0.00011298743611617153,62.022174475405336,4598.490125615996,0.166732301403183,0.08860193659002297,0.10249910545453013,0.06533787264937989,
1,0.4644717354484778,0.007456985830144076,0.0006571967627083459,0.0017497844737190452,0.030339201205364572,291.80311443581013,28.128031592442227,217.58049204838204,26.532722325362883,0.29109552141779693,324.9710897566848,57.94376532902319,1685.6857651023745,1738.559442833632,305.1556554122479,58801.597311918995,0.7197347996832293,0.5051304714178976,0.0020799475133861257,0.00011172535573810845,171.24221584011318,3254.050759185445,0.15634951657874085,0.15216903582008606,0.024494947565370746,0.2025147645873246,
2,0.3797401320340238,0.005702899159097535,0.0005764064567953157,0.006264700018016814,0.05394716648386473,291.8177568420226,14.517083186878061,123.87894545673008,110.70591600114884,0.6999406670440411,243.06762401963056,27.49259584319063,1143.7971717263451,1696.2546980131401,96.81308372887074,12740.783697757915,0.4972474788441632,0.5943876251681028,0.001294171544773911,3.079534882410761e-05,155.84466494230432,9597.480118154606,0.16660706653638688,0.11933245225561494,0.0328123731654375,0.30150797600853685,
3,0.49760941557257843,0.00204336335359101,0.0003964499086149748,0.009979662921786633,0.054316252043238686,253.54512373985264,31.300361583034515,90.7036704833486,137.43542128470918,0.31454389993380055,124.30918400626197,82.6893228818683,1544.7367592763721,734.6327256742534,1432.788350613961,83821.9438079941,0.7086335776746536,0.8107399235140761,0.002066670638329258,0.0001232093906064161,64.89473582477622,4662.936239971443,0.07129910325623824,0.04037621795514237,0.20474593140318453,0.18596933181285652,
4,0.6727922247104469,0.003453908323477189,0.0005582175316088257,0.0057164412890738,0.06919796639972553,223.7116301998338,29.47125433505358,350.33591124333594,117.75549764278728,0.8306946992425058,387.58767376926846,68.17947744774692,1485.0857107307215,863.9028066341135,1840.4296945933565,94695.7651395325,0.5553435293616354,0.6163767165074333,0.0019147647213849323,5.3417011712150266e-05,111.26312586643508,6408.086304156065,0.041221737531740466,0.1024206884600084,0.10711003096402881,0.07645531833377545,
5,0.49864931211796537,0.007798695027777133,0.0009231413154854243,0.00531757848153571,0.06684411449376648,186.7474349926223,67.68883538923096,76.52709792496981,65.92216249884481,0.18594769975018643,141.58762771457094,50.999461722378015,959.7001739003218,1474.4823994141582,710.4106589385227,76145.48598249162,0.6851457387245635,0.5263756342543244,0.0006592084884907997,5.371837919054446e-05,492.25961378272314,6713.605812613024,0.21386635589538266,0.14023424199795284,0.06678821362577199,0.0804618763629271,
6,0.6593089068767836,0.0026455758833741627,0.0004445397152291929,0.003937975276241679,0.0679623720919861,303.19660699599353,88.92927503972258,288.99949569211225,81.34441794636425,0.7218451492187685,222.25805703789868,25.195900585160253,1093.534917034354,1462.8051052722722,1912.1828127668564,37340.759272872136,0.518180548299467,0.8738112612228592,0.002061447774873411,8.597494051862369e-05,31.719721763396297,5266.557856502701,0.06419132668752096,0.024745453591397928,0.14018929331060775,0.11156501953368983,
7,0.6438507567403238,0.0063319962490943245,0.0005361863785424952,0.009675560208550663,0.07414061965683999,285.5509037336525,33.16926264127874,15.31098570098893,84.79803889691745,0.27296938906800394,399.34146973668123,38.48397571306056,1727.2317373624414,29.452269914786193,1955.8852051790104,37240.296345270144,0.5967085108511848,0.7217217477277452,0.0006391232558803394,7.551431315916525e-05,259.81060771591854,5702.991808027429,0.0671650832891334,0.12113488243532557,0.10087795799816951,0.06697131953704777,
8,0.3235035725576606,0.0007507977320423666,4.6751539811614896e-05,0.004232343088747448,0.06269398067209055,169.90447447692836,50.08399394450506,300.6803731869293,143.1959600270191,0.5840004359072688,243.4513075234531,61.064996787032264,290.0633260404152,583.2473525441281,1665.0271274690074,67418.79844281488,0.7201219909570831,0.603189392857967,0.0025759489340359864,4.521048666961846e-05,110.93078774674876,9607.725519154184,0.03842189609042014,0.2529827077716833,0.1748405442040054,0.21025127937623056,
9,0.6639382573836234,0.0026261352641346256,0.0006100316424638575,0.0030550606754257666,0.023046239008763868,272.1362881711372,13.511327299748892,196.45929079963219,93.53567677585986,0.4927799088995183,235.22949815603496,10.200391341734399,1272.5019791136633,1427.6644004800662,1721.0117445657788,3653.6512732490582,0.6230033779147897,0.7656838934848629,0.0020960565640738673,8.197452332359331e-05,69.64493628695203,5819.169575076067,0.0006687383877488202,0.2037538089846974,0.013660001302846093,0.11797919394108432,
