,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
f_auto,0.66,0.0022,0.66,0.67,290.0,280.0,1.0,0.00013,0.00013
theta_roo,0.0097,0.00029,0.0092,0.01,290.0,170.0,1.0,1.3e-05,2.3e-05
theta_woo,0.00076,4.1e-05,0.00069,0.00083,310.0,320.0,1.0,2.3e-06,1.8e-06
theta_min,0.0099,5.9e-05,0.0098,0.01,280.0,110.0,1.0,2.7e-06,4.4e-06
temperature_exponent,0.059,0.00082,0.058,0.06,400.0,250.0,1.0,4.1e-05,3e-05
d_onset,120.0,0.36,120.0,120.0,550.0,310.0,1.0,0.015,0.01
cr_onset,19.0,0.6,18.0,20.0,390.0,300.0,1.0,0.031,0.02
d_fall,180.0,100.0,23.0,340.0,610.0,280.0,1.0,4.1,1.9
cr_fall,29.0,0.78,28.0,30.0,530.0,280.0,1.0,0.034,0.023
c_lf,0.33,9e-05,0.33,0.33,460.0,200.0,1.0,2.8e-06,3.7e-06
lma,190.0,1.2,190.0,190.0,320.0,310.0,1.0,0.067,0.083
ceff,20.0,0.013,20.0,20.0,420.0,230.0,1.0,0.00054,0.00097
rh_annual,360.0,5.4,350.0,370.0,410.0,210.0,1.0,0.27,0.16
f_som,0.5,0.0009,0.5,0.5,230.0,160.0,1.0,4.5e-05,5e-05
theta_lit,0.0027,3.1e-05,0.0026,0.0027,230.0,160.0,1.0,1.6e-06,1.8e-06
theta_som,0.00011,3.7e-06,0.0001,0.00011,440.0,280.0,1.0,1.8e-07,1.7e-07
allocation_weights[0],0.93,0.0074,0.92,0.94,340.0,320.0,1.0,0.00041,0.00026
allocation_weights[1],0.0058,0.0016,0.0036,0.0086,360.0,290.0,1.0,8.3e-05,6.3e-05
allocation_weights[2],0.016,0.0036,0.01,0.021,320.0,290.0,1.0,0.0002,0.00016
allocation_weights[3],0.046,0.0067,0.036,0.057,450.0,330.0,1.0,0.00032,0.00021
f_lab,0.31,0.0028,0.31,0.32,380.0,350.0,1.0,0.00014,0.00011
f_fol,0.0019,0.00054,0.0012,0.0029,360.0,290.0,1.0,2.8e-05,2.2e-05
f_roo,0.0053,0.0012,0.0034,0.0072,320.0,290.0,1.0,6.6e-05,5.2e-05
f_woo,0.015,0.0023,0.012,0.019,440.0,310.0,1.0,0.00011,7.1e-05
rh_ref,0.68,0.0093,0.66,0.69,470.0,330.0,1.0,0.00044,0.00028
decomposition_multiplier,1.4,0.01,1.4,1.5,400.0,250.0,1.0,0.0005,0.00036
c_lit_0,130.0,2.6,120.0,130.0,490.0,280.0,1.0,0.12,0.084
c_som_0,3100.0,130.0,3000.0,3300.0,440.0,320.0,1.0,6.2,5.9
c_fol_0,460.0,0.13,460.0,460.0,460.0,200.0,1.0,0.0039,0.0051
c_lab_0,150.0,0.26,150.0,150.0,360.0,290.0,1.0,0.014,0.01
c_roo_0,25.0,0.84,25.0,27.0,290.0,170.0,1.0,0.039,0.086
c_woo_0,6200.0,0.89,6200.0,6200.0,440.0,220.0,1.0,0.042,0.081
c_fol_mean,600.0,3.0,600.0,610.0,310.0,270.0,1.0,0.17,0.12
gpp_annual,1600.0,8.9,1600.0,1600.0,310.0,250.0,1.0,0.48,0.46
nee_annual,-230.0,1.9,-230.0,-220.0,440.0,320.0,1.0,0.094,0.072
